date,최종수량,1kg price
2009.01,329377.50000000035,7487.904061181436
2009.02,232692.5,6313.280754491023
2009.03,150584.30000000005,6547.129354838707
2009.04,72390.00000000003,6033.820577367205
2009.05,25686.300000000003,7059.851871921186
2009.06,12222.199999999999,8015.536068965517
2009.07,11026.8,6119.159767441858
2009.08,10531.0,6507.890392156858
2009.09,33576.9,6140.1568965517245
2009.1,108281.19999999995,8256.44290766208
2009.11,326320.8999999999,11634.446656217351
2009.12,363895.3999999996,8555.47624405706
